user_id,group,content_segment,event,day_since_start
1,test,Music,add_to_playlist,20
1,test,All,start_premium_trial,22
1,test,All,purchase_quarterly,22
1,test,Music,add_to_playlist,27
1,test,All,renew,30
2,control,Podcast,add_to_playlist,4
2,control,All,start_premium_trial,4
2,control,All,purchase_annual,4
2,control,All,renew,30
3,test,All,start_premium_trial,2
3,test,All,purchase_monthly,2
3,test,Mix,add_to_playlist,4
3,test,Mix,add_to_playlist,12
3,test,Mix,add_to_playlist,16
3,test,Mix,add_to_playlist,18
3,test,Mix,add_to_playlist,20
3,test,All,renew,30
4,control,Music,add_to_playlist,14
4,control,Music,add_to_playlist,20
4,control,Music,add_to_playlist,23
4,control,All,start_premium_trial,23
4,control,All,purchase_quarterly,24
4,control,All,renew,30
5,control,Music,add_to_playlist,19
6,control,Mix,add_to_playlist,2
6,control,All,start_premium_trial,6
6,control,All,purchase_quarterly,6
6,control,Mix,add_to_playlist,7
6,control,Mix,add_to_playlist,19
6,control,Mix,add_to_playlist,20
6,control,Mix,add_to_playlist,25
6,control,Mix,add_to_playlist,28
6,control,All,renew,30
7,control,Music,add_to_playlist,17
7,control,All,start_premium_trial,25
7,control,Music,add_to_playlist,26
7,control,Music,add_to_playlist,27
7,control,All,purchase_monthly,27
7,control,Music,add_to_playlist,28
7,control,All,renew,30
8,test,Podcast,add_to_playlist,2
8,test,All,start_premium_trial,11
8,test,All,purchase_quarterly,13
8,test,Podcast,add_to_playlist,27
8,test,All,renew,30
9,test,Music,add_to_playlist,13
9,test,All,start_premium_trial,18
9,test,Music,add_to_playlist,20
9,test,All,purchase_monthly,21
9,test,Music,add_to_playlist,25
9,test,Music,add_to_playlist,27
9,test,All,cancel,30
10,control,All,purchase_quarterly,5
10,control,Music,add_to_playlist,6
10,control,Music,add_to_playlist,9
10,control,All,start_premium_trial,11
10,control,Music,add_to_playlist,26
10,control,All,renew,30
11,control,Music,add_to_playlist,15
11,control,Music,add_to_playlist,16
11,control,All,start_premium_trial,17
11,control,All,purchase_annual,17
11,control,All,renew,30
12,test,Music,add_to_playlist,3
12,test,All,start_premium_trial,12
12,test,All,purchase_annual,12
12,test,Music,add_to_playlist,14
12,test,All,renew,30
13,test,All,start_premium_trial,2
13,test,All,purchase_monthly,2
13,test,Mix,add_to_playlist,13
13,test,Mix,add_to_playlist,17
13,test,All,renew,30
14,control,Podcast,add_to_playlist,3
14,control,Podcast,add_to_playlist,6
14,control,Podcast,add_to_playlist,14
14,control,Podcast,add_to_playlist,23
15,control,Music,add_to_playlist,6
15,control,All,purchase_monthly,9
15,control,Music,add_to_playlist,20
15,control,All,start_premium_trial,26
15,control,All,renew,30
16,test,All,start_premium_trial,4
16,test,All,purchase_annual,5
16,test,All,renew,30
17,control,Music,add_to_playlist,5
17,control,Music,add_to_playlist,7
17,control,Music,add_to_playlist,11
17,control,Music,add_to_playlist,13
17,control,Music,add_to_playlist,26
18,control,Music,add_to_playlist,3
18,control,All,start_premium_trial,5
18,control,All,purchase_monthly,6
18,control,Music,add_to_playlist,13
18,control,All,cancel,30
19,control,All,start_premium_trial,1
19,control,All,purchase_monthly,1
19,control,Podcast,add_to_playlist,3
19,control,Podcast,add_to_playlist,6
19,control,Podcast,add_to_playlist,22
19,control,All,renew,30
20,control,Podcast,add_to_playlist,9
20,control,Podcast,add_to_playlist,18
20,control,Podcast,add_to_playlist,27
21,test,All,start_premium_trial,12
21,test,All,purchase_quarterly,13
21,test,Music,add_to_playlist,15
21,test,Music,add_to_playlist,17
21,test,All,renew,30
22,test,Podcast,add_to_playlist,18
23,test,Podcast,add_to_playlist,5
23,test,All,start_premium_trial,6
23,test,All,purchase_quarterly,6
23,test,All,renew,30
24,control,All,start_premium_trial,12
24,control,All,purchase_monthly,13
24,control,Mix,add_to_playlist,25
24,control,All,cancel,30
25,control,All,start_premium_trial,2
25,control,All,purchase_monthly,2
25,control,Mix,add_to_playlist,10
25,control,Mix,add_to_playlist,11
25,control,Mix,add_to_playlist,16
25,control,Mix,add_to_playlist,19
25,control,All,renew,30
26,control,Music,add_to_playlist,10
26,control,All,start_premium_trial,11
26,control,Music,add_to_playlist,13
26,control,All,purchase_monthly,16
26,control,All,renew,30
27,test,Mix,add_to_playlist,8
27,test,All,purchase_quarterly,9
27,test,All,start_premium_trial,12
27,test,Mix,add_to_playlist,17
27,test,Mix,add_to_playlist,20
27,test,All,renew,30
28,control,Music,add_to_playlist,2
28,control,Music,add_to_playlist,7
28,control,All,start_premium_trial,21
28,control,All,purchase_monthly,22
28,control,All,renew,30
29,test,Podcast,add_to_playlist,12
29,test,Podcast,add_to_playlist,19
29,test,Podcast,add_to_playlist,21
29,test,Podcast,add_to_playlist,26
29,test,All,start_premium_trial,29
29,test,All,purchase_monthly,29
29,test,All,renew,30
30,control,All,start_premium_trial,10
30,control,All,purchase_monthly,10
30,control,Music,add_to_playlist,22
30,control,All,renew,30
31,control,Music,add_to_playlist,4
31,control,Music,add_to_playlist,6
31,control,Music,add_to_playlist,9
31,control,Music,add_to_playlist,10
31,control,All,start_premium_trial,11
31,control,All,purchase_monthly,11
31,control,Music,add_to_playlist,29
31,control,All,renew,30
32,test,All,start_premium_trial,4
32,test,All,purchase_monthly,4
32,test,Music,add_to_playlist,6
32,test,Music,add_to_playlist,8
32,test,Music,add_to_playlist,23
32,test,Music,add_to_playlist,25
32,test,All,renew,30
33,control,Mix,add_to_playlist,2
33,control,All,start_premium_trial,6
33,control,All,purchase_quarterly,6
33,control,Mix,add_to_playlist,23
33,control,All,renew,30
34,control,Podcast,add_to_playlist,2
34,control,All,start_premium_trial,12
34,control,All,purchase_monthly,12
34,control,Podcast,add_to_playlist,17
34,control,All,cancel,30
35,control,All,start_premium_trial,3
35,control,All,purchase_quarterly,3
35,control,Mix,add_to_playlist,13
35,control,All,cancel,30
37,control,Music,add_to_playlist,2
37,control,Music,add_to_playlist,5
37,control,Music,add_to_playlist,13
37,control,All,start_premium_trial,28
37,control,All,purchase_monthly,28
37,control,All,cancel,30
38,test,All,start_premium_trial,5
38,test,All,purchase_quarterly,5
38,test,Mix,add_to_playlist,18
38,test,Mix,add_to_playlist,23
38,test,Mix,add_to_playlist,28
38,test,All,renew,30
39,control,All,start_premium_trial,6
39,control,All,purchase_annual,6
39,control,Music,add_to_playlist,9
39,control,Music,add_to_playlist,26
39,control,All,cancel,30
40,control,Mix,add_to_playlist,8
40,control,Mix,add_to_playlist,13
40,control,All,start_premium_trial,13
40,control,All,purchase_monthly,20
40,control,Mix,add_to_playlist,24
40,control,Mix,add_to_playlist,28
40,control,All,renew,30
41,test,All,start_premium_trial,4
41,test,All,purchase_monthly,5
41,test,Music,add_to_playlist,17
41,test,Music,add_to_playlist,26
41,test,Music,add_to_playlist,27
41,test,All,cancel,30
42,control,Mix,add_to_playlist,6
42,control,Mix,add_to_playlist,7
42,control,All,start_premium_trial,7
42,control,All,purchase_quarterly,7
42,control,Mix,add_to_playlist,22
42,control,Mix,add_to_playlist,25
42,control,Mix,add_to_playlist,29
42,control,All,renew,30
43,test,All,start_premium_trial,6
43,test,Music,add_to_playlist,14
43,test,All,purchase_monthly,14
43,test,Music,add_to_playlist,22
43,test,All,renew,30
44,control,Podcast,add_to_playlist,8
44,control,All,start_premium_trial,9
44,control,All,purchase_monthly,11
44,control,Podcast,add_to_playlist,12
44,control,Podcast,add_to_playlist,14
44,control,Podcast,add_to_playlist,17
44,control,Podcast,add_to_playlist,24
44,control,All,renew,30
45,control,All,start_premium_trial,20
45,control,All,purchase_quarterly,22
45,control,Podcast,add_to_playlist,30
45,control,All,renew,30
46,test,Music,add_to_playlist,4
46,test,Music,add_to_playlist,6
46,test,All,start_premium_trial,16
46,test,All,purchase_quarterly,16
46,test,Music,add_to_playlist,20
46,test,Music,add_to_playlist,25
46,test,All,renew,30
47,test,All,start_premium_trial,2
47,test,All,purchase_monthly,5
47,test,Podcast,add_to_playlist,20
47,test,All,renew,30
48,control,Mix,add_to_playlist,1
48,control,All,purchase_quarterly,13
48,control,Mix,add_to_playlist,16
48,control,Mix,add_to_playlist,19
48,control,Mix,add_to_playlist,25
48,control,Mix,add_to_playlist,26
48,control,All,renew,30
49,control,Music,add_to_playlist,9
49,control,Music,add_to_playlist,20
49,control,All,start_premium_trial,23
49,control,All,purchase_annual,24
49,control,All,renew,30
50,test,Podcast,add_to_playlist,17
50,test,All,start_premium_trial,27
50,test,All,purchase_monthly,27
50,test,Podcast,add_to_playlist,29
50,test,All,renew,30
51,control,Music,add_to_playlist,10
51,control,All,start_premium_trial,16
51,control,All,purchase_monthly,16
51,control,All,renew,30
52,test,All,start_premium_trial,4
52,test,All,purchase_monthly,4
52,test,Music,add_to_playlist,15
52,test,Music,add_to_playlist,18
52,test,All,renew,30
53,test,All,start_premium_trial,1
53,test,All,purchase_quarterly,1
53,test,Music,add_to_playlist,3
53,test,Music,add_to_playlist,17
53,test,Music,add_to_playlist,22
53,test,All,renew,30
54,test,Music,add_to_playlist,17
54,test,Music,add_to_playlist,24
55,control,All,start_premium_trial,8
55,control,All,purchase_monthly,8
55,control,Music,add_to_playlist,13
55,control,Music,add_to_playlist,14
55,control,Music,add_to_playlist,19
55,control,All,cancel,30
56,control,Music,add_to_playlist,1
56,control,Music,add_to_playlist,4
56,control,Music,add_to_playlist,7
56,control,Music,add_to_playlist,11
56,control,All,start_premium_trial,13
56,control,All,purchase_monthly,13
56,control,Music,add_to_playlist,25
56,control,Music,add_to_playlist,27
56,control,All,renew,30
57,test,Music,add_to_playlist,1
57,test,Music,add_to_playlist,8
57,test,Music,add_to_playlist,13
57,test,All,start_premium_trial,14
57,test,All,purchase_monthly,15
57,test,Music,add_to_playlist,22
57,test,Music,add_to_playlist,23
57,test,All,renew,30
58,test,Music,add_to_playlist,5
58,test,All,start_premium_trial,7
58,test,All,purchase_quarterly,9
58,test,Music,add_to_playlist,19
58,test,All,cancel,30
59,test,Music,add_to_playlist,2
59,test,All,start_premium_trial,7
59,test,All,purchase_quarterly,8
59,test,All,renew,30
60,test,All,purchase_monthly,1
60,test,Music,add_to_playlist,11
60,test,All,start_premium_trial,11
60,test,Music,add_to_playlist,12
60,test,Music,add_to_playlist,15
60,test,Music,add_to_playlist,23
60,test,All,renew,30
61,control,Music,add_to_playlist,3
61,control,All,start_premium_trial,5
61,control,All,purchase_monthly,6
61,control,Music,add_to_playlist,12
61,control,Music,add_to_playlist,21
61,control,All,cancel,30
62,control,Podcast,add_to_playlist,2
62,control,Podcast,add_to_playlist,10
62,control,Podcast,add_to_playlist,16
62,control,Podcast,add_to_playlist,18
63,control,Music,add_to_playlist,16
63,control,Music,add_to_playlist,21
63,control,Music,add_to_playlist,26
64,test,All,start_premium_trial,7
64,test,All,purchase_monthly,7
64,test,Podcast,add_to_playlist,8
64,test,Podcast,add_to_playlist,15
64,test,Podcast,add_to_playlist,17
64,test,Podcast,add_to_playlist,18
64,test,Podcast,add_to_playlist,25
64,test,All,renew,30
65,test,All,start_premium_trial,1
65,test,Music,add_to_playlist,2
65,test,All,purchase_monthly,2
65,test,Music,add_to_playlist,16
65,test,Music,add_to_playlist,27
65,test,All,renew,30
66,test,Mix,add_to_playlist,9
66,test,All,purchase_monthly,11
66,test,Mix,add_to_playlist,26
66,test,All,renew,30
67,test,Mix,add_to_playlist,2
67,test,All,purchase_monthly,3
67,test,Mix,add_to_playlist,4
67,test,All,start_premium_trial,6
67,test,Mix,add_to_playlist,25
67,test,Mix,add_to_playlist,26
67,test,Mix,add_to_playlist,28
67,test,All,renew,30
68,test,All,start_premium_trial,19
68,test,All,purchase_monthly,19
68,test,Music,add_to_playlist,30
68,test,All,renew,30
69,control,Music,add_to_playlist,5
69,control,All,start_premium_trial,10
69,control,All,purchase_monthly,11
69,control,Music,add_to_playlist,14
69,control,Music,add_to_playlist,20
69,control,Music,add_to_playlist,21
69,control,All,cancel,30
70,control,Mix,add_to_playlist,5
70,control,Mix,add_to_playlist,10
70,control,Mix,add_to_playlist,27
71,control,All,start_premium_trial,1
71,control,All,purchase_monthly,3
71,control,Podcast,add_to_playlist,8
71,control,All,renew,30
72,test,All,purchase_quarterly,8
72,test,Music,add_to_playlist,12
72,test,All,start_premium_trial,20
72,test,All,renew,30
73,control,Podcast,add_to_playlist,3
73,control,Podcast,add_to_playlist,5
73,control,Podcast,add_to_playlist,6
73,control,Podcast,add_to_playlist,8
73,control,All,start_premium_trial,20
73,control,All,purchase_monthly,21
73,control,Podcast,add_to_playlist,26
73,control,Podcast,add_to_playlist,29
73,control,All,renew,30
74,test,Music,add_to_playlist,17
75,test,Music,add_to_playlist,8
75,test,Music,add_to_playlist,9
75,test,Music,add_to_playlist,12
75,test,Music,add_to_playlist,14
75,test,Music,add_to_playlist,17
75,test,Music,add_to_playlist,20
75,test,All,start_premium_trial,20
75,test,All,purchase_monthly,20
75,test,Music,add_to_playlist,27
75,test,All,cancel,30
76,test,All,start_premium_trial,12
